Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Purchase Amount (VND)
3528,25,Female,Blouse,Clothing,Long Bien,S,Charcoal,Spring,4.7,No,Cash,Free Shipping,No,No,1,Cash,Weekly,2425000
13690,34,Male,Hoodie,Clothing,District 2,L,Violet,Winter,4.1,No,Cash,Standard,No,Yes,32,Cash,Monthly,1625000
12037,67,Female,Sneakers,Outerwear,Soc Son,S,Blue,Summer,3.5,Yes,Credit Card,Express,No,Yes,48,Debit Card,Monthly,1425000
14294,44,Female,Shorts,Accessories,Can Gio,M,Green,Winter,3.5,Yes,Cash,Free Shipping,Yes,Yes,36,Cash,Bi-Weekly,1850000
322,41,Male,Sneakers,Footwear,District 5,L,Orange,Summer,4.7,Yes,Credit Card,Free Shipping,Yes,Yes,48,Debit Card,Quarterly,900000
4243,57,Male,Shirt,Clothing,Bac Tu Liem,M,Green,Winter,4.6,No,Debit Card,Store Pickup,No,Yes,28,Venmo,Monthly,1100000
10072,20,Female,Sweater,Accessories,Ba Vi,M,Maroon,Spring,4.4,Yes,PayPal,Express,Yes,Yes,45,Bank Transfer,Fortnightly,1725000
10396,56,Female,Coat,Clothing,Cu Chi,M,Olive,Spring,4.1,No,Debit Card,2-Day Shipping,Yes,Yes,23,Bank Transfer,Fortnightly,725000
13775,29,Male,Sneakers,Outerwear,District 7,L,Maroon,Summer,3.9,No,Venmo,Next Day Air,No,Yes,47,Venmo,Fortnightly,2075000
8784,70,Male,Jacket,Outerwear,Go Vap,L,Gray,Winter,3.9,No,Bank Transfer,Free Shipping,Yes,Yes,39,Bank Transfer,Weekly,1925000
11036,46,Female,Sweater,Outerwear,District 8,L,White,Winter,4,Yes,Credit Card,Next Day Air,Yes,Yes,13,Cash,Monthly,2025000
252,21,Male,Handbag,Accessories,District 8,XL,Gold,Winter,2.5,Yes,PayPal,Standard,Yes,Yes,34,PayPal,Annually,1275000
9420,68,Male,Socks,Accessories,District 4,L,Gray,Spring,4.1,No,Debit Card,Store Pickup,Yes,Yes,4,Credit Card,Weekly,900000
12077,67,Female,Skirt,Outerwear,Soc Son,M,Gray,Fall,3.7,No,Cash,Free Shipping,Yes,Yes,2,Credit Card,Fortnightly,2450000
10994,60,Male,Blouse,Clothing,Binh Tan,M,Gray,Winter,4.5,No,PayPal,2-Day Shipping,Yes,Yes,5,Credit Card,Fortnightly,1725000
36,54,Male,Blouse,Clothing,District 5,M,Cyan,Summer,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,825000
13809,68,Female,Boots,Footwear,District 3,XL,White,Summer,3.9,Yes,Cash,Next Day Air,No,Yes,34,Credit Card,Weekly,1625000
1514,22,Male,Socks,Clothing,Ha Dong,M,Red,Spring,4.1,No,PayPal,Free Shipping,Yes,Yes,27,Cash,Monthly,875000
14764,31,Male,Shorts,Clothing,Ung Hoa,M,Maroon,Winter,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,15,Credit Card,Bi-Weekly,1725000
40,70,Male,Pants,Clothing,Nha Be,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,1500000
10266,44,Male,Socks,Clothing,Bac Tu Liem,M,Turquoise,Winter,3.8,Yes,Venmo,Store Pickup,Yes,Yes,11,Credit Card,Quarterly,600000
8912,61,Female,Socks,Accessories,Binh Chanh,L,Olive,Fall,4.2,Yes,Cash,Free Shipping,Yes,Yes,32,Venmo,Fortnightly,1950000
3325,37,Female,T-shirt,Clothing,Nam Tu Liem,S,Red,Fall,3.3,No,Venmo,Standard,No,No,41,Venmo,Weekly,800000
3869,18,Female,Dress,Clothing,Can Gio,XL,Magenta,Winter,3.3,No,PayPal,2-Day Shipping,No,No,9,Cash,Annually,725000
9170,39,Male,Shoes,Accessories,Hoang Mai,M,Red,Summer,4.5,Yes,Debit Card,2-Day Shipping,Yes,No,35,Venmo,Fortnightly,1150000
13731,44,Female,Blouse,Accessories,Phu Xuyen,L,Gray,Summer,4.4,Yes,Debit Card,2-Day Shipping,Yes,Yes,19,PayPal,Annually,900000
10440,34,Male,Dress,Accessories,Phuc Tho,L,Green,Winter,3.8,No,Bank Transfer,Free Shipping,Yes,Yes,32,Cash,Bi-Weekly,1350000
13574,67,Male,Dress,Clothing,Tay Ho,M,Black,Spring,4.1,Yes,Cash,Next Day Air,No,No,17,Debit Card,Fortnightly,2000000
8479,36,Female,Jacket,Outerwear,Hoan Kiem,M,Maroon,Spring,2.6,No,Debit Card,Express,Yes,Yes,33,Bank Transfer,Bi-Weekly,975000
13385,64,Male,Jacket,Accessories,Hoc Mon,M,Maroon,Spring,3.9,Yes,Debit Card,2-Day Shipping,No,Yes,37,Cash,Bi-Weekly,1250000
8486,21,Female,Jeans,Clothing,Thu Duc,M,White,Summer,3.5,Yes,Venmo,Free Shipping,No,Yes,39,Credit Card,Fortnightly,2100000
15102,22,Female,Pants,Outerwear,Binh Thanh,L,Violet,Winter,2.6,Yes,Credit Card,Store Pickup,Yes,Yes,37,Venmo,Bi-Weekly,1100000
4110,43,Male,Skirt,Clothing,Son Tay,M,Gray,Winter,4,Yes,Credit Card,Next Day Air,Yes,No,27,Venmo,Fortnightly,2050000
4157,59,Male,Sandals,Footwear,Hoc Mon,M,Black,Winter,3.7,Yes,Venmo,Next Day Air,Yes,No,27,Cash,Bi-Weekly,1300000
1189,68,Male,Blouse,Clothing,District 1,M,Magenta,Summer,3.3,No,Credit Card,Next Day Air,Yes,Yes,11,Credit Card,Weekly,725000
13413,68,Female,Pants,Clothing,District 11,M,Charcoal,Winter,2.6,No,PayPal,Express,Yes,Yes,33,Bank Transfer,Fortnightly,1800000
11524,69,Male,Sandals,Accessories,Nha Be,XL,White,Fall,3,Yes,Credit Card,Express,Yes,Yes,36,Credit Card,Fortnightly,700000
108,28,Male,Sneakers,Footwear,Gia Lam,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,1675000
1316,56,Male,Shorts,Clothing,Long Bien,L,Green,Spring,4.2,No,PayPal,2-Day Shipping,Yes,Yes,29,Debit Card,Quarterly,1875000
13634,20,Male,Socks,Clothing,Binh Tan,M,Black,Summer,3.7,No,Credit Card,Store Pickup,Yes,Yes,20,PayPal,Monthly,1025000
4318,53,Male,Shorts,Clothing,Long Bien,M,Blue,Summer,4.5,No,Cash,Store Pickup,Yes,Yes,1,Cash,Quarterly,950000
15200,36,Female,Jacket,Clothing,District 4,L,Maroon,Summer,4.4,Yes,Cash,Express,Yes,Yes,24,Credit Card,Monthly,850000
11678,51,Male,Sweater,Accessories,District 1,M,Gray,Winter,4,No,Cash,Express,Yes,Yes,44,PayPal,Monthly,1800000
4441,66,Male,Skirt,Clothing,Nha Be,XL,Maroon,Spring,4.3,Yes,Credit Card,Standard,Yes,Yes,16,Credit Card,Quarterly,1875000
10770,64,Male,Dress,Clothing,Ha Dong,L,Olive,Spring,4.2,Yes,Cash,Free Shipping,Yes,Yes,3,Cash,Fortnightly,875000
800,55,Male,Belt,Accessories,District 5,L,Brown,Summer,3.3,Yes,Venmo,Free Shipping,Yes,Yes,31,PayPal,Annually,1375000
9017,22,Male,T-shirt,Footwear,Thach That,L,Pink,Spring,4.4,No,PayPal,Store Pickup,Yes,Yes,21,Credit Card,Fortnightly,1700000
4459,68,Female,Boots,Footwear,District 11,M,Black,Fall,4.5,Yes,Credit Card,Free Shipping,No,Yes,28,Debit Card,Fortnightly,2075000
8374,49,Female,T-shirt,Clothing,Thuong Tin,M,Black,Winter,4.7,Yes,Credit Card,Store Pickup,No,Yes,29,Venmo,Quarterly,825000
13625,49,Female,Belt,Clothing,Can Gio,M,Maroon,Fall,3.8,Yes,Venmo,Free Shipping,No,Yes,19,PayPal,Monthly,2475000
972,47,Male,Sunglasses,Accessories,District 6,M,Cyan,Summer,4.3,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Credit Card,Weekly,1675000
12134,41,Male,Coat,Clothing,Phuc Tho,M,Black,Summer,4.4,Yes,PayPal,Standard,Yes,Yes,12,PayPal,Weekly,525000
14022,39,Female,Pants,Clothing,Hai Ba Trung,XL,Black,Summer,3.6,Yes,Credit Card,Store Pickup,Yes,Yes,16,Venmo,Weekly,675000
3585,39,Female,Sneakers,Footwear,Hoai Duc,L,Indigo,Fall,4.8,No,Debit Card,Express,No,No,48,Debit Card,Monthly,1300000
14501,24,Female,Skirt,Clothing,Dan Phuong,M,Maroon,Fall,4.2,Yes,Bank Transfer,Standard,Yes,Yes,39,Venmo,Weekly,1500000
953,36,Male,Hat,Accessories,Chuong My,S,Red,Fall,3.1,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,28,PayPal,Monthly,1775000
10806,39,Male,Sneakers,Clothing,Nam Tu Liem,L,Olive,Summer,4.8,Yes,Debit Card,Express,No,Yes,35,Bank Transfer,Fortnightly,1475000
9304,54,Male,Hoodie,Clothing,Chuong My,S,Gray,Spring,4.8,Yes,Cash,Store Pickup,Yes,Yes,10,Credit Card,Quarterly,1550000
11308,26,Female,Boots,Outerwear,Binh Chanh,M,Red,Summer,3.4,Yes,Bank Transfer,Free Shipping,No,Yes,5,PayPal,Weekly,2350000
8592,52,Male,Dress,Accessories,Phu Nhuan,L,Pink,Spring,3.7,No,Debit Card,Store Pickup,Yes,Yes,26,Credit Card,Fortnightly,1250000
8752,29,Female,Hoodie,Clothing,Thanh Tri,M,White,Summer,4.4,Yes,Debit Card,Standard,Yes,Yes,32,PayPal,Bi-Weekly,1550000
8453,20,Male,Blouse,Clothing,Thanh Xuan,L,Black,Fall,3.6,No,Bank Transfer,Free Shipping,Yes,Yes,1,Debit Card,Fortnightly,825000
14448,65,Male,Shorts,Clothing,Ba Dinh,XL,Black,Winter,4.4,No,Venmo,Store Pickup,Yes,Yes,24,PayPal,Annually,2075000
13217,54,Male,Coat,Clothing,Tan Phu,S,Turquoise,Summer,3.7,No,Venmo,Next Day Air,Yes,No,11,Venmo,Annually,1275000
12885,30,Male,Pants,Accessories,Dan Phuong,S,Turquoise,Winter,4,Yes,PayPal,Express,No,Yes,23,Debit Card,Monthly,1425000
13389,67,Male,Hat,Accessories,Thanh Tri,M,Black,Spring,4.3,Yes,Venmo,Next Day Air,Yes,Yes,39,Venmo,Monthly,2425000
14685,26,Female,Coat,Outerwear,District 12,M,Violet,Summer,4.3,No,Bank Transfer,Express,Yes,Yes,38,PayPal,Weekly,1575000
1057,20,Male,Sweater,Clothing,Tan Phu,L,Black,Winter,2.9,No,Debit Card,2-Day Shipping,Yes,Yes,42,Venmo,Fortnightly,1600000
8601,52,Female,Jeans,Clothing,Hoc Mon,L,Olive,Spring,4.4,Yes,Cash,Next Day Air,Yes,No,10,Cash,Annually,1800000
9234,44,Female,Skirt,Clothing,District 4,L,Charcoal,Spring,4.1,No,PayPal,Store Pickup,Yes,Yes,27,Credit Card,Weekly,1425000
14636,53,Male,Socks,Clothing,District 2,M,Black,Spring,3.9,No,Venmo,Next Day Air,Yes,Yes,39,Credit Card,Annually,2450000
13272,47,Male,T-shirt,Clothing,Can Gio,M,Charcoal,Fall,4.1,Yes,Bank Transfer,Next Day Air,No,Yes,8,Cash,Weekly,2150000
12986,25,Female,Blouse,Clothing,Phuc Tho,M,Gray,Winter,3.9,No,Cash,Store Pickup,Yes,Yes,32,Credit Card,Bi-Weekly,1700000
12678,24,Female,Sweater,Accessories,District 2,M,Black,Spring,3.9,Yes,Cash,Next Day Air,No,Yes,27,Cash,Annually,775000
765,55,Male,Skirt,Clothing,Thach That,XL,Silver,Fall,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,6,Debit Card,Quarterly,975000
10466,21,Female,Sandals,Footwear,Hoan Kiem,M,Olive,Winter,4.2,No,Cash,2-Day Shipping,Yes,Yes,24,Bank Transfer,Weekly,1800000
10350,70,Female,Jewelry,Footwear,Thuong Tin,XL,Blue,Fall,4.2,No,Debit Card,Next Day Air,Yes,No,42,Debit Card,Annually,1475000
13540,49,Male,Hoodie,Accessories,District 5,L,Turquoise,Summer,4.3,Yes,Bank Transfer,Store Pickup,No,Yes,33,Cash,Weekly,2125000
12290,38,Female,Skirt,Outerwear,District 8,M,Black,Spring,4.3,No,Venmo,Store Pickup,Yes,Yes,37,PayPal,Monthly,2000000
3730,28,Female,Boots,Footwear,Ba Vi,M,Teal,Spring,4.7,No,Bank Transfer,2-Day Shipping,No,No,50,Cash,Quarterly,2050000
3427,47,Female,Socks,Clothing,Binh Thanh,XL,Magenta,Fall,4.8,No,PayPal,2-Day Shipping,No,No,31,Credit Card,Annually,875000
13297,20,Male,Shirt,Clothing,Son Tay,M,Gray,Fall,4.4,Yes,Cash,Express,Yes,Yes,26,Venmo,Bi-Weekly,1025000
14570,64,Male,Pants,Outerwear,Thanh Tri,M,Red,Winter,3,Yes,Credit Card,2-Day Shipping,Yes,No,9,PayPal,Fortnightly,2350000
3905,29,Male,Skirt,Clothing,Hai Ba Trung,M,Maroon,Summer,4,No,Credit Card,Standard,Yes,Yes,22,Venmo,Weekly,650000
10974,25,Male,Pants,Clothing,Hai Ba Trung,XL,Green,Fall,3.5,No,Cash,Free Shipping,Yes,No,26,PayPal,Fortnightly,1200000
12190,32,Male,Sneakers,Clothing,Can Gio,XL,Violet,Fall,4.5,Yes,Credit Card,Standard,Yes,Yes,39,Debit Card,Bi-Weekly,1325000
9450,51,Male,Pants,Accessories,District 9,L,Olive,Summer,3.7,Yes,Debit Card,Standard,Yes,Yes,50,Credit Card,Bi-Weekly,1200000
1124,36,Male,Hat,Accessories,Go Vap,S,Purple,Fall,2.5,No,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,1675000
14156,41,Female,Gloves,Clothing,District 6,S,Black,Winter,4.8,Yes,Venmo,Next Day Air,No,No,14,Credit Card,Annually,1200000
9496,19,Male,Dress,Clothing,Thach That,M,Gray,Spring,4.4,No,Venmo,Next Day Air,Yes,Yes,25,PayPal,Fortnightly,2275000
13087,19,Male,Skirt,Clothing,District 3,L,Violet,Spring,4.4,Yes,PayPal,Store Pickup,Yes,Yes,10,Credit Card,Quarterly,1425000
766,54,Male,Sneakers,Footwear,Me Linh,M,Pink,Summer,3,Yes,Bank Transfer,Store Pickup,Yes,Yes,13,Cash,Quarterly,2475000
3909,61,Female,Hoodie,Clothing,District 12,S,Gray,Winter,4.4,Yes,Venmo,Next Day Air,Yes,Yes,16,Bank Transfer,Fortnightly,1100000
9518,19,Male,Jeans,Clothing,Me Linh,M,Maroon,Fall,3.7,Yes,PayPal,Free Shipping,Yes,Yes,49,Bank Transfer,Quarterly,2275000
12663,25,Male,Shirt,Clothing,Phu Xuyen,M,Olive,Summer,4.5,Yes,Credit Card,Free Shipping,Yes,Yes,44,Credit Card,Monthly,800000
9663,47,Female,Skirt,Footwear,District 8,M,Gray,Fall,4.5,No,Venmo,2-Day Shipping,Yes,No,45,Venmo,Quarterly,1750000
13399,33,Female,Shorts,Footwear,District 1,M,Pink,Summer,4.1,No,Bank Transfer,Free Shipping,Yes,Yes,19,PayPal,Monthly,625000
11417,68,Female,Dress,Accessories,Hai Ba Trung,M,White,Winter,4.1,Yes,Bank Transfer,Store Pickup,Yes,No,13,Cash,Annually,2400000
8797,56,Female,Sweater,Clothing,Soc Son,S,Green,Summer,3.5,Yes,Cash,Store Pickup,No,No,15,PayPal,Fortnightly,1475000
10142,29,Male,Blouse,Outerwear,Hoai Duc,L,Blue,Winter,5,Yes,PayPal,Free Shipping,No,No,26,Debit Card,Bi-Weekly,2425000
8846,20,Female,Shorts,Outerwear,District 11,L,White,Fall,4.4,Yes,Credit Card,2-Day Shipping,Yes,Yes,16,Bank Transfer,Quarterly,1025000
9528,50,Male,Belt,Clothing,Thanh Xuan,XL,Charcoal,Winter,3.6,Yes,Debit Card,2-Day Shipping,No,Yes,19,Debit Card,Monthly,1250000
14596,24,Male,Skirt,Accessories,Binh Thanh,M,Gray,Fall,4.4,Yes,Credit Card,Express,Yes,Yes,31,Debit Card,Bi-Weekly,1525000
1225,62,Male,Shorts,Clothing,Quoc Oai,M,Yellow,Summer,3.7,No,Bank Transfer,Store Pickup,Yes,Yes,18,Venmo,Weekly,1250000
11739,64,Female,Hoodie,Footwear,Tan Phu,XL,Charcoal,Summer,3.8,Yes,Credit Card,Free Shipping,Yes,No,2,Debit Card,Weekly,1950000
8569,55,Male,Dress,Clothing,Long Bien,L,Olive,Winter,3.8,No,Bank Transfer,Free Shipping,No,No,49,Credit Card,Bi-Weekly,2075000
511,21,Male,Shirt,Clothing,My Duc,M,Teal,Fall,3.9,Yes,Credit Card,2-Day Shipping,Yes,Yes,22,Venmo,Annually,2175000
11241,64,Male,Shorts,Clothing,Bac Tu Liem,L,Black,Winter,4.3,Yes,Cash,Store Pickup,Yes,Yes,8,PayPal,Fortnightly,1300000
13628,24,Male,Socks,Clothing,Cau Giay,L,Green,Spring,3.4,Yes,Bank Transfer,Store Pickup,No,Yes,37,Credit Card,Fortnightly,1350000
14864,36,Female,Hat,Footwear,Phu Xuyen,M,Black,Spring,4,Yes,Credit Card,Standard,Yes,No,21,Venmo,Bi-Weekly,1200000
97,32,Male,Gloves,Accessories,Phuc Tho,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,1825000
12128,60,Male,Socks,Clothing,Son Tay,M,White,Summer,4.1,Yes,Venmo,Free Shipping,Yes,No,34,Venmo,Bi-Weekly,1600000
1513,60,Male,Sneakers,Footwear,Tan Binh,L,Silver,Winter,3.9,No,Debit Card,Standard,Yes,Yes,18,PayPal,Bi-Weekly,575000
14238,69,Female,Jacket,Accessories,District 1,L,Pink,Winter,3.6,No,Cash,Next Day Air,No,Yes,17,PayPal,Weekly,1375000
120,38,Male,Coat,Outerwear,Son Tay,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,1900000
13238,41,Male,Skirt,Clothing,Tan Phu,M,White,Spring,3.6,No,Credit Card,2-Day Shipping,Yes,Yes,47,PayPal,Monthly,1825000
11964,40,Female,Gloves,Clothing,Thuong Tin,L,Black,Fall,4.2,No,Cash,Free Shipping,Yes,No,29,PayPal,Monthly,650000
34,54,Male,Pants,Clothing,District 11,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,950000
13334,70,Female,Boots,Clothing,Chuong My,M,Charcoal,Winter,3.7,Yes,PayPal,Standard,Yes,Yes,24,Credit Card,Fortnightly,1125000
12277,61,Male,Handbag,Clothing,Dan Phuong,S,Olive,Fall,4,Yes,PayPal,Express,Yes,Yes,17,Venmo,Weekly,1550000
10868,44,Male,Socks,Footwear,District 9,XL,Black,Summer,3.6,No,Debit Card,Store Pickup,No,Yes,21,Cash,Fortnightly,1825000
1069,55,Male,Shirt,Clothing,Ba Vi,M,Olive,Fall,2.5,No,Bank Transfer,Standard,Yes,Yes,47,Credit Card,Weekly,2350000
1348,44,Male,Sweater,Clothing,District 3,M,Cyan,Summer,3.9,No,Venmo,2-Day Shipping,Yes,Yes,47,Bank Transfer,Monthly,2375000
10194,61,Female,Pants,Accessories,District 6,S,Pink,Spring,3.4,Yes,Venmo,Free Shipping,No,Yes,13,Credit Card,Bi-Weekly,1875000
11452,25,Male,Shirt,Clothing,Ha Dong,M,Olive,Summer,3.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,32,PayPal,Quarterly,1825000
11486,25,Female,Shorts,Accessories,Thach That,L,Black,Winter,3.8,Yes,Debit Card,Free Shipping,Yes,Yes,39,Credit Card,Weekly,1600000
9264,58,Male,Scarf,Accessories,Thanh Tri,M,Black,Spring,4.1,Yes,Credit Card,2-Day Shipping,Yes,Yes,4,Venmo,Weekly,1050000
13893,50,Male,Hoodie,Footwear,District 11,M,Pink,Spring,2.6,Yes,Venmo,Standard,Yes,Yes,36,PayPal,Fortnightly,1650000
10716,28,Male,Dress,Accessories,Son Tay,L,Black,Spring,4.4,No,Cash,Store Pickup,Yes,No,13,Debit Card,Monthly,1875000
12344,69,Female,Dress,Clothing,Hai Ba Trung,S,Red,Spring,4.9,Yes,Debit Card,Next Day Air,Yes,Yes,45,Debit Card,Bi-Weekly,700000
10756,62,Female,Blouse,Accessories,District 3,M,Black,Fall,3.8,Yes,Credit Card,Free Shipping,No,Yes,37,Credit Card,Weekly,950000
32,33,Male,Dress,Clothing,District 10,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,1975000
11121,56,Female,Dress,Clothing,Thanh Oai,S,Charcoal,Winter,4.4,Yes,Cash,Express,Yes,Yes,16,PayPal,Annually,925000
9833,27,Male,Skirt,Clothing,District 11,M,Green,Winter,3.6,Yes,PayPal,Store Pickup,Yes,Yes,14,Debit Card,Quarterly,1050000
30,31,Male,Dress,Clothing,Tay Ho,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1200000
9649,28,Female,Pants,Clothing,Long Bien,M,Red,Spring,4.6,No,Cash,Next Day Air,No,Yes,11,Bank Transfer,Monthly,1150000
12954,57,Female,Jacket,Accessories,Bac Tu Liem,L,Turquoise,Spring,4,Yes,Cash,Next Day Air,Yes,Yes,33,Credit Card,Bi-Weekly,675000
736,61,Male,Sunglasses,Accessories,Cu Chi,M,Orange,Fall,3.6,Yes,Venmo,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly,1200000
3632,48,Female,Hat,Accessories,Bac Tu Liem,M,Peach,Fall,2.9,No,Debit Card,Store Pickup,No,No,26,Credit Card,Monthly,1250000
107,64,Male,Jacket,Outerwear,Soc Son,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,875000
15091,67,Female,Pants,Clothing,Thanh Oai,L,Maroon,Winter,3.6,Yes,Venmo,Standard,No,Yes,14,Debit Card,Bi-Weekly,1125000
14341,29,Female,Shirt,Footwear,District 5,M,Gray,Winter,4.3,Yes,PayPal,Standard,No,No,11,Debit Card,Bi-Weekly,2375000
13467,67,Female,Coat,Clothing,Ung Hoa,L,Gray,Winter,3.9,No,PayPal,Store Pickup,No,Yes,17,Credit Card,Monthly,1400000
3797,40,Female,Shorts,Clothing,District 11,M,Lavender,Fall,3.2,No,Credit Card,Free Shipping,No,No,47,Bank Transfer,Quarterly,2025000
994,51,Male,Sandals,Footwear,Tay Ho,M,Peach,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,25,Cash,Weekly,2250000
14859,53,Male,Gloves,Clothing,Binh Thanh,L,Violet,Spring,4.4,Yes,Cash,Free Shipping,No,No,19,Cash,Weekly,1050000
12505,27,Male,Shorts,Clothing,Hoan Kiem,M,Turquoise,Summer,3.8,Yes,Venmo,Store Pickup,Yes,Yes,25,Debit Card,Bi-Weekly,1025000
12236,45,Female,Coat,Clothing,Binh Thanh,M,Olive,Winter,4.9,Yes,PayPal,2-Day Shipping,Yes,No,45,Credit Card,Weekly,1000000
361,51,Male,Pants,Clothing,Tan Phu,M,Teal,Summer,3,Yes,Bank Transfer,Standard,Yes,Yes,18,Debit Card,Fortnightly,750000
305,40,Male,Dress,Clothing,Hai Ba Trung,M,Green,Winter,3.4,Yes,Venmo,Next Day Air,Yes,Yes,45,Credit Card,Bi-Weekly,2100000
